date,open,high,low,close,volume
2010-06-29,0.01341,0.013426,0.013409,0.013413,2164381.27
2010-06-30,0.013412,0.013432,0.01341,0.01342,882910.51
2010-07-01,0.013429,0.013449,0.013423,0.013445,1603723.29
2010-07-02,0.013444,0.013449,0.013396,0.013396,758631.61
2010-07-06,0.013406,0.013432,0.013393,0.013397,850729.21
2010-07-07,0.013399,0.013408,0.013345,0.013364,1478074.5
2010-07-08,0.013372,0.013388,0.013367,0.013371,398787
2010-07-09,0.013371,0.013378,0.013355,0.013356,474547.26
2010-07-12,0.01336,0.013387,0.01336,0.013387,752993.89
2010-07-13,0.013391,0.013418,0.013391,0.013406,633930.43
2010-07-14,0.013396,0.013406,0.013366,0.013366,1966169.08
2010-07-15,0.013366,0.013382,0.013356,0.013378,676487.25
2010-07-16,0.013377,0.013404,0.013377,0.013404,678765.45
2010-07-19,0.0134,0.013418,0.013399,0.013399,335817.42
2010-07-20,0.013394,0.013401,0.013388,0.013388,538861.71
2010-07-21,0.013384,0.013389,0.013368,0.013379,847108.28
2010-07-22,0.013377,0.013399,0.013377,0.013387,808332.96
2010-07-23,0.013388,0.013394,0.013379,0.013384,983636.49
2010-07-26,0.013384,0.013384,0.013369,0.013369,307472.72
2010-07-27,0.013371,0.013384,0.013371,0.013383,331959.27
2010-07-28,0.013383,0.013394,0.013344,0.013348,1634520.61
2010-07-29,0.013351,0.01336,0.013328,0.013346,1057224.53
2010-07-30,0.013354,0.013357,0.01333,0.013338,667067.87
2010-08-02,0.013341,0.013352,0.013335,0.013342,964610.71
2010-08-03,0.01335,0.013367,0.01335,0.013367,347786.93
2010-08-04,0.013367,0.013367,0.013326,0.01334,1826832.23
2010-08-05,0.013345,0.013353,0.013325,0.013329,342340.04
2010-08-06,0.013331,0.013346,0.013314,0.013338,738970.08
2010-08-09,0.013346,0.013346,0.013314,0.013322,261076.37
2010-08-10,0.013329,0.013343,0.01332,0.013335,849819.53
2010-08-11,0.013333,0.013333,0.013302,0.013312,1417603.71
2010-08-12,0.013312,0.013325,0.013287,0.013303,2228224.12
2010-08-13,0.013306,0.013333,0.013301,0.013304,1241649.13
2010-08-16,0.013319,0.013322,0.013283,0.013293,1602698.52
2010-08-17,0.013295,0.013296,0.01328,0.013286,566481.31
2010-08-18,0.013286,0.013314,0.013286,0.01331,874128.53
2010-08-19,0.013306,0.013324,0.013301,0.013323,473353.3
2010-08-20,0.013324,0.013332,0.013319,0.013322,887181.83
2010-08-23,0.013332,0.013334,0.013327,0.013333,165512.3
2010-08-24,0.013335,0.013335,0.013309,0.013323,594776.88
2010-08-25,0.013324,0.01335,0.013323,0.013342,527980.79
2010-08-26,0.013342,0.01335,0.013338,0.01335,273419
2010-08-27,0.013353,0.01336,0.01334,0.013347,605031.19
2010-08-30,0.013347,0.013359,0.013336,0.013352,358734.82
2010-08-31,0.013347,0.013347,0.013287,0.013305,1592954.53
2010-09-01,0.013304,0.013333,0.01329,0.013318,432350.69
2010-09-02,0.013318,0.013324,0.013267,0.013267,2140283.75
2010-09-03,0.013276,0.013282,0.01326,0.01326,414673.65
2010-09-07,0.01326,0.013273,0.01325,0.01326,714833.02
2010-09-08,0.013255,0.013265,0.01323,0.013238,1612753.15
2010-09-09,0.013233,0.013249,0.01306,0.013108,8746513.76
2010-09-10,0.013115,0.013124,0.01305,0.013052,9340937.44
2010-09-13,0.01305,0.013097,0.013012,0.013076,3235473.92
2010-09-14,0.013089,0.013089,0.01298,0.013076,6260430.43
2010-09-15,0.013065,0.013116,0.013029,0.013105,1636485.57
2010-09-16,0.01309,0.013161,0.013076,0.013139,2051774.14
2010-09-17,0.013134,0.013172,0.013114,0.01315,2165277.31
2010-09-20,0.013138,0.013158,0.013137,0.013151,314488.32
2010-09-21,0.013153,0.013159,0.013127,0.01315,908832.18
2010-09-22,0.013148,0.013167,0.013125,0.013159,496979.84
2010-09-23,0.013166,0.013183,0.013156,0.013179,1005068.85
2010-09-24,0.013179,0.013179,0.013134,0.013134,286074.57
2010-09-27,0.013134,0.013139,0.013118,0.013128,962377.04
2010-09-28,0.013127,0.013147,0.013103,0.013141,2044016.54
2010-09-29,0.013138,0.013138,0.013079,0.01309,1253579.39
2010-09-30,0.013077,0.013098,0.013057,0.013057,1085684.84
2010-10-01,0.013057,0.013072,0.01304,0.013051,1143796.45
2010-10-04,0.013051,0.013098,0.013022,0.01309,2371622.12
2010-10-05,0.013095,0.013124,0.013095,0.013114,370396.15
2010-10-06,0.013116,0.013129,0.013111,0.013122,339537.65
2010-10-07,0.013115,0.013115,0.013058,0.013068,942321.74
2010-10-08,0.013058,0.013074,0.013031,0.013074,1615568.94
2010-10-11,0.013072,0.013075,0.013049,0.013072,677300.27
2010-10-12,0.01306,0.013076,0.01305,0.013068,360838.12
2010-10-13,0.013068,0.013068,0.013027,0.013027,677992.44
2010-10-14,0.013027,0.013041,0.013015,0.013027,575314.74
2010-10-15,0.013026,0.013027,0.013,0.013009,1454933.44
2010-10-18,0.013004,0.013033,0.012992,0.013005,2054667.44
2010-10-19,0.012998,0.013015,0.012965,0.012987,4312455.99
2010-10-20,0.012986,0.013027,0.012978,0.013027,1203926.04
2010-10-21,0.013027,0.013032,0.013011,0.013032,280261.8
2010-10-22,0.013035,0.013065,0.013035,0.013065,1316099.71
2010-10-25,0.013059,0.013065,0.013036,0.013049,690048.48
2010-10-26,0.013037,0.013039,0.013018,0.013024,551843.29
2010-10-27,0.013024,0.013039,0.013011,0.013021,796613.43
2011-01-06,0.013021,0.013022,0.012998,0.013008,512828.99
2011-01-07,0.013007,0.013036,0.013006,0.013036,248032.64
2011-01-10,0.013025,0.013049,0.013022,0.013049,149664.54
2011-01-11,0.013046,0.013057,0.013036,0.013057,1347336.39
2011-01-12,0.01306,0.01306,0.01305,0.013054,170580.85
2011-01-13,0.013054,0.013054,0.013032,0.013032,63722.85
